Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P83731|RL24_HUMAN	sp|P83731|RL24_HUMAN	3	3	3		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	19.1	19.1	19.1	17.779	157	157	0	21.763	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.1	19.1	19.1	19.1	19.1	19.1	93223000	7132600	10296000	17411000	23263000	18174000	16947000	7435900	10321000	17320000	22337000	17437000	14621000	3	3	3	2	4	3	18				884	308;5650;7285	True;True;True	312;5761;7425	1788;1789;1790;1791;1792;1793;34722;34723;34724;34725;34726;34727;45064;45065;45066;45067;45068;45069	1833;1834;1835;1836;1837;1838;1839;34939;34940;34941;34942;34943;34944;45256;45257;45258;45259;45260	1838;34941;45260		
sp|P83916|CBX1_HUMAN	sp|P83916|CBX1_HUMAN	3	3	2		1	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	18.4	18.4	9.7	21.418	185	185	0	57.647	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.4	18.4	18.4	18.4	18.4	18.4	137930000	17954000	18318000	19730000	28692000	25558000	27676000	17422000	20454000	16945000	29626000	21325000	19687000	2	2	2	7	5	7	25				885	3157;3709;3839	True;True;True	3202;3203;3765;3895	19167;19168;19169;19170;19171;19172;19173;19174;19175;19176;19177;19178;19179;19180;19181;19182;22592;22593;22594;22595;22596;22597;23408;23409;23410;23411;23412;23413	19388;19389;19390;19391;19392;19393;19394;19395;19396;19397;19398;19399;19400;19401;19402;19403;22698;22699;22700;23481;23482;23483;23484;23485;23486	19392;22699;23486	143	136
sp|P84090|ERH_HUMAN	sp|P84090|ERH_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	25	25	25	12.259	104	104	0	54.031	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25	25	25	25	25	25	222410000	27682000	30874000	33917000	46190000	39160000	44586000	28810000	36159000	32292000	42055000	38705000	36120000	4	4	5	4	5	4	26				886	126;6171	True;True	128;6291	769;770;771;772;773;774;37866;37867;37868;37869;37870;37871	838;839;840;841;842;37900;37901;37902;37903;37904;37905;37906;37907;37908;37909;37910;37911;37912;37913;37914;37915;37916;37917;37918;37919;37920;37921	840;37920		
sp|P84098|RL19_HUMAN	sp|P84098|RL19_HUMAN	2	2	2		1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	9.2	9.2	9.2	23.466	196	196	0	23.975	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.2	8.7	9.2	9.2	9.2	9.2	33078000	4464400	2921400	6982700	4908400	5876600	7924000	4608400	0	5673700	5101500	5952700	6664900	1	1	3	1	1	2	9				887	3858;7802	True;True	3914;7955	23563;23564;23565;23566;23567;48274;48275;48276;48277;48278;48279;48280	23617;23618;48624;48625;48626;48627;48628;48629;48630	23618;48630		
sp|P84103|SRSF3_HUMAN	sp|P84103|SRSF3_HUMAN	3	2	2		1	3	2	2	2	3	3	2	2	3	1	2	2	2	1	2	1	2	2	2	1	2	18.3	18.3	18.3	19.329	164	164	0	15.609	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14	18.3	18.3	18.3	14	18.3	43332000	4048300	5029800	6789400	12712000	7357800	7394300	0	4716800	4493300	17236000	0	4097800	1	1	1	4	1	1	9				888	186;5375;5376	True;False;True	188;5479;5480	1074;1075;1076;1077;1078;1079;33010;33011;33012;33013;33014;33015;33016;33017;33018	1127;1128;1129;1130;1131;1132;33162;33163;33164;33165;33166;33167;33168;33169;33170;33171;33172;33173;33174;33175	1128;33165;33173		
sp|P98160|PGBM_HUMAN	sp|P98160|PGBM_HUMAN	44	44	44		1	44	44	44	37	36	38	36	36	37	37	36	38	36	36	37	37	36	38	36	36	37	15	15	15	468.83	4391	4391	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.9	12.3	12.5	12.2	12	12.2	765480000	134790000	137910000	201600000	126280000	78186000	86707000	145180000	156990000	191190000	118750000	70200000	70844000	48	45	46	24	22	29	214				889	36;146;466;531;549;849;1391;1705;1751;1830;1975;2008;2009;2623;2647;2847;2885;2959;3356;3479;4019;4040;4411;4628;4825;4934;5336;5735;5743;5822;5876;6183;6239;6313;6380;6395;6404;6569;7311;7383;7384;7749;7772;7971	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	36;148;471;538;556;861;1412;1731;1777;1857;2003;2038;2039;2661;2685;2888;2926;3002;3409;3534;4081;4102;4477;4698;4897;5008;5438;5846;5854;5935;5991;6303;6359;6435;6504;6519;6528;6695;7452;7527;7528;7901;7925;8127	214;215;216;217;218;219;890;891;892;2777;2778;2779;2780;2781;2782;3170;3272;3273;3274;3275;3276;3277;3278;3279;3280;3281;5120;5121;5122;5123;5124;5125;8371;8372;8373;10254;10255;10256;10257;10258;10259;10498;10499;10500;10501;10502;10503;10971;10972;11809;11810;11811;11812;11813;11814;12012;12013;12014;12015;12016;12017;12018;12019;12020;12021;12022;12023;15786;15787;15788;15789;15790;15925;15926;15927;15928;15929;15930;17230;17231;17232;17233;17234;17235;17488;17489;17490;17491;17492;17493;18008;18009;18010;18011;18012;20456;20457;20458;20459;20460;20461;21163;21164;21165;24571;24699;24700;24701;24702;24703;24704;26967;26968;26969;26970;26971;26972;28260;28261;28262;28263;28264;28265;29479;29480;29481;29482;29483;29484;30134;30135;30136;32715;32716;32717;32718;32719;32720;32721;32722;32723;32724;32725;32726;35227;35228;35229;35230;35231;35232;35274;35275;35276;35277;35802;35803;35804;35805;35806;35807;35808;35809;35810;36164;36165;36166;36167;36168;36169;37939;37940;37941;37942;37943;37944;38342;38343;38344;38345;38843;38844;38845;39229;39230;39231;39232;39233;39234;39312;39313;39314;39315;39316;39370;39371;39372;39373;39374;40425;40426;40427;40428;40429;40430;45234;45235;45236;45237;45724;45725;45726;45727;45728;45729;45730;45731;45732;45733;45734;45735;45736;45737;45738;45739;45740;45741;47916;47917;47918;47919;47920;47921;47922;47923;47924;47925;47926;48085;49316;49317;49318;49319;49320;49321	236;237;238;239;968;969;970;971;2856;2857;2858;2859;2860;2861;3226;3330;3331;3332;3333;3334;3335;3336;5271;5272;8449;8450;8451;10255;10256;10257;10258;10510;10511;10512;10513;10975;11827;11828;11829;11830;11831;11832;12048;12049;12050;15870;15871;15872;15873;15874;15978;15979;15980;15981;15982;15983;15984;15985;15986;15987;15988;17295;17296;17297;17298;17299;17300;17301;17302;17303;17304;17305;17555;17556;17557;17558;17559;17560;17561;17562;17563;17564;17565;18151;18152;18153;20704;20705;20706;20707;20708;20709;21410;21411;21412;24684;24685;24820;24821;24822;24823;24824;24825;24826;24827;24828;27036;27037;27038;27039;27040;27041;27042;27043;27044;27045;27046;28269;28270;28271;28272;29523;29524;29525;29526;29527;29528;29529;29530;29531;30185;30186;30187;30188;30189;30190;30191;32869;32870;32871;32872;32873;32874;32875;32876;32877;32878;32879;35357;35358;35359;35360;35361;35362;35363;35364;35365;35398;35399;35883;35884;35885;35886;35887;35888;35889;36232;37974;37975;37976;37977;37978;37979;38433;38974;38975;38976;38977;38978;39309;39310;39311;39312;39313;39378;39442;39443;39444;39445;40429;40430;40431;45430;45997;45998;45999;46000;46001;46002;46003;46004;46005;46006;48256;48257;48258;48259;48260;48261;48456;49683;49684;49685;49686;49687;49688;49689;49690;49691	238;971;2861;3226;3334;5271;8449;10257;10510;10975;11832;12048;12050;15872;15983;17300;17563;18152;20708;21411;24685;24825;27046;28269;29530;30190;32870;35363;35399;35885;36232;37978;38433;38975;39312;39378;39444;40431;45430;46003;46006;48258;48456;49687		
sp|P98179|RBM3_HUMAN	sp|P98179|RBM3_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	21	21	21	17.17	157	157	0	19.96	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21	21	21	21	21	21	97142000	14455000	15529000	17192000	20759000	17981000	11226000	16606000	20485000	15705000	12783000	18032000	11709000	1	2	1	1	2	1	8				890	2311;8205	True;True	2347;8365	13841;13842;13843;13844;13845;13846;50771;50772;50773;50774;50775;50776	13919;13920;13921;51045;51046;51047;51048;51049	13921;51046		
XX|CYC_HUMAN|;sp|P99999|CYC_HUMAN	XX|CYC_HUMAN|;sp|P99999|CYC_HUMAN	3;3	3;3	3;3	;	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	31.7	31.7	31.7	11.617	104	104;105	0	31.644	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.7	31.7	31.7	31.7	31.7	31.7	244860000	24979000	19836000	52234000	47230000	42026000	58557000	25729000	22566000	49102000	47687000	37975000	48336000	5	5	7	5	6	7	35				891	111;2409;5008	True;True;True	113;2446;5092	685;686;687;688;689;690;14460;14461;14462;14463;14464;14465;30603;30604;30605;30606;30607;30608	752;753;754;755;756;757;758;14553;14554;14555;14556;14557;14558;14559;14560;14561;14562;14563;14564;14565;14566;14567;14568;14569;14570;14571;14572;30628;30629;30630;30631;30632;30633;30634;30635	753;14564;30635		
sp|Q00169|PIPNA_HUMAN	sp|Q00169|PIPNA_HUMAN	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.4	4.4	4.4	31.806	270	270	0.0016103	8.6685	By matching	By matching	By matching	By matching	By matching	By MS/MS	4.4	4.4	4.4	4.4	4.4	4.4	3164700	620740	59839	58548	662010	557480	1206000	0	0	0	0	0	964560	0	0	0	0	0	1	1				892	2926	True	2968	17796;17797;17798;17799;17800;17801	17951	17951		
sp|Q00341|VIGLN_HUMAN	sp|Q00341|VIGLN_HUMAN	3	3	3		1	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	4.9	4.9	4.9	141.45	1268	1268	0	27.368	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	2.6	4.9	4.9	4.9	4.9	4.9	28680000	2393100	5098900	5622400	5449500	4671900	5444400	4588100	5625900	5323800	4332800	4266900	3655800	0	1	0	1	1	3	6				893	3513;4045;6472	True;True;True	3568;4107;6597	21373;21374;21375;21376;21377;21378;24733;24734;24735;24736;24737;39802;39803;39804;39805;39806;39807	21599;21600;24850;39804;39805;39806	21600;24850;39805		
sp|Q00577|PURA_HUMAN	sp|Q00577|PURA_HUMAN	3	3	3		1	3	3	3	2	3	2	3	3	2	2	3	2	3	3	2	2	3	2	3	3	2	18	18	18	34.91	322	322	0	37.624	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.9	18	10.9	18	18	10.9	34448000	4216400	6170100	6706600	8103700	5832400	3418700	4961200	7435400	8362900	6361600	4500600	2353300	1	2	2	2	1	1	9				894	1882;2559;4201	True;True;True	1910;2596;4266	11290;11291;11292;11293;11294;11295;15405;15406;15407;25686;25687;25688;25689;25690;25691	11298;11299;15516;25780;25781;25782;25783;25784;25785	11298;15516;25782		
sp|Q00610|CLH1_HUMAN;sp|P53675|CLH2_HUMAN	sp|Q00610|CLH1_HUMAN	39;8	39;8	39;8		2	39	39	39	35	33	32	32	33	35	35	33	32	32	33	35	35	33	32	32	33	35	33	33	33	191.61	1675	1675;1640	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.5	27.2	26	27.3	28.4	29.8	692890000	87814000	87602000	98086000	157930000	114790000	146680000	88525000	112220000	85651000	128020000	107390000	131780000	31	31	24	34	35	51	206				895	88;249;253;374;544;1237;1683;2584;2953;3430;3520;3612;3638;3647;3844;3852;3892;3950;4002;4175;4271;4333;4378;4436;5087;5307;5328;5359;5707;5904;5949;5951;6543;6874;6999;7143;7744;7881;8021	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	88;252;256;379;551;1258;1709;2621;2996;3485;3575;3668;3694;3703;3900;3908;3948;4008;4061;4240;4337;4399;4444;4502;5178;5408;5430;5463;5818;6019;6064;6066;6668;7003;7131;7281;7896;8034;8178	538;539;540;541;542;543;1436;1437;1438;1439;1440;1441;1462;1463;1464;1465;2207;2208;2209;2210;2211;2212;3246;3247;3248;3249;3250;7456;7457;10119;10120;10121;10122;10123;10124;15556;15557;15558;15559;15560;15561;17973;17974;17975;17976;17977;17978;20883;20884;20885;20886;21413;21414;21415;21416;21417;21418;21924;21925;21926;21927;21928;21929;22115;22116;22117;22118;22119;22120;22121;22122;22123;22124;22125;22126;22180;22181;22182;22183;22184;22185;22186;23465;23466;23467;23468;23469;23470;23530;23531;23532;23533;23534;23535;23772;24125;24126;24127;24128;24129;24130;24455;25527;25528;25529;25530;25531;25532;26128;26129;26492;26493;26494;26495;26496;26497;26771;26772;26773;26774;26775;26776;27109;27110;27111;27112;27113;27114;31097;31098;31099;31100;31101;31102;32534;32535;32668;32669;32670;32671;32672;32928;32929;32930;32931;32932;32933;35068;35069;35070;35071;35072;35073;36348;36349;36350;36351;36352;36353;36583;36584;36585;36592;36593;36594;36595;36596;36597;36598;40247;40248;40249;40250;40251;40252;40253;40254;40255;40256;40257;40258;42294;42295;42296;42297;42298;42299;43081;43082;43083;43084;43085;43086;43087;43088;43089;43090;43091;43092;44047;44048;44049;44050;44051;44052;47892;47893;47894;47895;47896;48738;48739;48740;48741;48742;48743;49611;49612;49613;49614;49615;49616	615;616;617;1528;1529;1530;1531;1532;1549;2255;2256;2257;2258;2259;2260;3307;3308;3309;3310;7687;10122;10123;10124;15649;15650;15651;15652;15653;15654;15655;15656;15657;15658;15659;15660;15661;15662;18118;18119;18120;18121;18122;21122;21123;21124;21125;21626;21627;21628;21629;21630;21631;21632;21633;21634;21635;21636;22068;22069;22070;22071;22234;22235;22236;22237;22238;22239;22308;22309;22310;22311;22312;22313;23533;23534;23535;23536;23537;23538;23597;23830;24228;24229;24230;24231;24232;24233;24234;24235;24236;24237;24238;24239;24557;25596;25597;25598;25599;25600;25601;25602;25603;26190;26515;26516;26839;26840;26841;26842;26843;26844;27182;27183;27184;27185;27186;27187;27188;27189;27190;27191;27192;27193;31170;31171;31172;31173;31174;31175;32684;32814;32815;32816;32817;33070;33071;33072;33073;33074;33075;33076;35271;35272;35273;35274;35275;35276;36394;36395;36396;36397;36398;36399;36400;36401;36402;36403;36404;36566;36572;36573;36574;36575;36576;40219;40220;40221;40222;40223;40224;40225;40226;40227;40228;40229;40230;40231;40232;40233;42356;42357;42358;42359;42360;42361;43122;43123;43124;43125;43126;43127;43128;43129;44086;44087;44088;44089;44090;48228;48229;48230;48231;48232;48233;49085;49086;49911	616;1528;1549;2255;3308;7687;10123;15655;18122;21124;21636;22071;22238;22312;23533;23597;23830;24239;24557;25600;26190;26515;26839;27187;31171;32684;32814;33071;35275;36401;36566;36576;40224;42357;43128;44087;48229;49086;49911		
sp|Q00688|FKBP3_HUMAN	sp|Q00688|FKBP3_HUMAN	8	8	8		1	8	8	8	8	7	6	8	6	7	8	7	6	8	6	7	8	7	6	8	6	7	29.9	29.9	29.9	25.177	224	224	0	70.202	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.9	29.9	21.4	29.9	23.2	29.9	168100000	25095000	19406000	20788000	42064000	25985000	34756000	23460000	29303000	22842000	22602000	31397000	31640000	9	5	4	3	4	11	36				896	576;577;743;2000;2726;4047;4048;6618	True;True;True;True;True;True;True;True	583;584;753;2030;2766;4109;4110;6744	3436;3437;3438;3439;3440;3441;3442;3443;4455;4456;4457;4458;4459;4460;11963;11964;11965;11966;11967;16424;16425;16426;16427;16428;16429;24740;24741;24742;24743;24744;24745;24746;24747;24748;24749;24750;24751;40764;40765;40766;40767;40768	3482;3483;3484;3485;3486;3487;4589;4590;4591;4592;4593;4594;11999;12000;12001;12002;12003;12004;12005;12006;16534;16535;16536;16537;16538;16539;16540;16541;24853;24854;40735;40736;40737;40738;40739;40740;40741;40742	3485;3487;4590;12006;16540;24853;24854;40738		
sp|Q00796|DHSO_HUMAN	sp|Q00796|DHSO_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10.4	10.4	10.4	38.324	357	357	0	50.562	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.4	10.4	10.4	10.4	10.4	10.4	53454000	7181400	6242800	9633400	12642000	9421700	8332700	7281900	6866900	8588300	12555000	9626200	6765400	3	1	2	3	3	4	16				897	4;4060	True;True	4;4123	12;13;14;15;16;17;24808;24809;24810;24811;24812;24813	6;7;8;9;10;11;12;13;14;15;16;17;24895;24896;24897;24898	17;24896		
sp|Q00839|HNRPU_HUMAN	sp|Q00839|HNRPU_HUMAN	9	9	9		1	9	9	9	8	7	9	9	8	9	8	7	9	9	8	9	8	7	9	9	8	9	15.8	15.8	15.8	90.583	825	825	0	197.02	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.5	15.5	15.8	15.8	15.8	15.8	490490000	53307000	53743000	73159000	114090000	88803000	107390000	57111000	55272000	73473000	108410000	84438000	89525000	7	7	8	10	12	13	57				898	1445;1446;2742;2743;3589;4553;5212;6455;8104	True;True;True;True;True;True;True;True;True	1468;1469;2782;2783;3645;4622;5312;6580;8264	8723;8724;8725;8726;8727;8728;8729;8730;8731;8732;16525;16526;16527;16528;16529;16530;16531;16532;16533;16534;16535;16536;16537;16538;16539;16540;21788;21789;21790;21791;21792;21793;27812;27813;27814;27815;27816;27817;27818;27819;27820;27821;27822;27823;31917;31918;31919;31920;31921;31922;39704;39705;39706;39707;39708;39709;39710;39711;39712;39713;39714;39715;50158;50159;50160;50161;50162;50163	8791;8792;8793;8794;8795;8796;8797;8798;8799;8800;8801;8802;16646;16647;16648;16649;16650;16651;16652;16653;16654;21956;27851;27852;27853;27854;27855;27856;27857;27858;27859;27860;31994;31995;31996;31997;31998;31999;39727;39728;39729;39730;39731;39732;39733;39734;39735;39736;39737;39738;39739;39740;39741;50484;50485;50486;50487	8793;8802;16646;16651;21956;27854;31997;39735;50486		
sp|Q01082|SPTB2_HUMAN	sp|Q01082|SPTB2_HUMAN	13	13	13		1	13	13	13	10	13	12	12	12	12	10	13	12	12	12	12	10	13	12	12	12	12	9.4	9.4	9.4	274.61	2364	2364	0	123.53	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.1	9.4	8.6	9	8.6	8.5	118420000	11672000	17689000	20856000	28439000	18955000	20806000	12809000	17561000	20585000	29132000	17635000	16888000	2	5	2	3	4	10	26				899	565;1220;1761;2890;2893;3285;3890;4222;4420;6421;6590;6615;6971	True;True;True;True;True;True;True;True;True;True;True;True;True	572;1241;1787;2932;2935;3336;3946;4287;4486;6545;6716;6741;7103	3370;3371;3372;3373;3374;3375;7362;7363;7364;7365;7366;7367;10562;10563;10564;10565;10566;10567;17523;17524;17525;17526;17539;17540;17541;17542;20028;20029;20030;20031;20032;20033;23762;23763;23764;23765;23766;23767;25801;25802;25803;25804;25805;27016;27017;27018;27019;27020;39487;39488;39489;39490;39491;39492;40578;40579;40580;40581;40582;40583;40747;40748;40749;40750;40751;40752;42922;42923;42924;42925;42926	3417;3418;3419;3420;3421;7620;7621;7622;10559;17604;17605;17612;20288;20289;20290;23828;25888;27095;39550;39551;39552;39553;39554;39555;40586;40729;42963	3421;7622;10559;17604;17612;20290;23828;25888;27095;39553;40586;40729;42963		
sp|Q01085|TIAR_HUMAN;sp|P31483|TIA1_HUMAN	sp|Q01085|TIAR_HUMAN;sp|P31483|TIA1_HUMAN	2;1	2;1	2;1	;	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	9.6	9.6	9.6	41.59	375	375;386	0	15.209	By matching	By matching	By matching	By matching	By matching	By MS/MS	3.5	3.5	3.5	3.5	3.5	9.6	12229000	1182800	1102000	1021300	1676200	1293800	5953100	0	0	0	0	0	4761100	0	0	0	0	0	4	4				900	1127;5783	True;True	1147;5894	6814;35531;35532;35533;35534;35535;35536	7042;7043;35633;35634	7043;35633		
sp|Q01105|SET_HUMAN;sp|P0DME0|SETLP_HUMAN	sp|Q01105|SET_HUMAN;sp|P0DME0|SETLP_HUMAN	12;6	12;6	12;6	;	2	12	12	12	9	11	8	9	10	11	9	11	8	9	10	11	9	11	8	9	10	11	45.5	45.5	45.5	33.488	290	290;302	0	99.245	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	33.1	34.5	26.9	33.4	34.5	34.5	876480000	113950000	109420000	132370000	214210000	143710000	162820000	142360000	127730000	117520000	176630000	132760000	147340000	9	9	8	8	14	14	62				901	1342;1635;2998;2999;3362;3706;3782;4475;4476;6161;7248;7249	True;True;True;True;True;True;True;True;True;True;True;True	1363;1661;3041;3042;3415;3762;3838;4543;4544;6281;7388;7389	8090;8091;8092;8093;8094;8095;8096;9837;9838;9839;9840;9841;9842;18228;18229;18230;18231;18232;18233;18234;18235;18236;18237;18238;18239;18240;18241;18242;18243;18244;20490;22578;22579;22580;22581;23033;23034;23035;23036;27356;27357;27358;27359;27360;27361;27362;27363;27364;27365;27366;37810;37811;37812;37813;37814;37815;44832;44833;44834;44835;44836;44837;44838;44839;44840;44841	8208;8209;8210;8211;8212;9897;9898;9899;9900;9901;9902;18379;18380;18381;18382;18383;18384;18385;18386;18387;18388;18389;18390;18391;18392;20754;22686;22687;22688;23077;23078;27417;27418;27419;27420;27421;27422;27423;27424;27425;27426;27427;37849;37850;37851;37852;37853;37854;37855;45060;45061;45062;45063;45064;45065;45066;45067;45068;45069;45070;45071;45072	8209;9901;18387;18391;20754;22688;23078;27417;27427;37852;45069;45072		
sp|Q01130|SRSF2_HUMAN	sp|Q01130|SRSF2_HUMAN	2	2	2		1	2	2	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	18.1	18.1	18.1	25.476	221	221	0	94.937	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.1	7.7	7.7	18.1	7.7	18.1	32117000	3073000	3044200	5202800	10382000	5091600	5323500	3074900	0	0	10720000	0	3683000	1	2	1	2	1	1	8				902	767;6574	True;True	777;6700	4601;4602;4603;4604;4605;4606;40470;40471;40472	4710;4711;4712;4713;4714;4715;4716;40489	4714;40489		
sp|Q01469|FABP5_HUMAN	sp|Q01469|FABP5_HUMAN	1	1	1		1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6.7	6.7	6.7	15.164	135	135	0.0063875	6.1745	By MS/MS						6.7	0	0	0	0	0	1368700	1368700	0	0	0	0	0	1368700	0	0	0	0	0	1	0	0	0	0	0	1				903	1497	True	1520	9006	9063	9063		
sp|Q01518|CAP1_HUMAN	sp|Q01518|CAP1_HUMAN	5	5	5		1	5	5	5	4	5	4	4	5	5	4	5	4	4	5	5	4	5	4	4	5	5	15.4	15.4	15.4	51.901	475	475	0	44.12	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.6	15.4	11.6	11.6	15.4	15.4	55778000	6342100	5159900	10043000	12991000	10287000	10955000	6625600	5908500	10160000	11934000	9861300	8798100	2	2	3	1	2	4	14				904	1584;4637;4843;6155;7899	True;True;True;True;True	1610;4707;4915;6275;8053	9547;9548;9549;9550;9551;9552;28325;28326;28327;28328;28329;28330;29594;29595;29596;29597;29598;29599;37782;37783;37784;48849;48850;48851;48852;48853;48854	9617;9618;9619;9620;9621;9622;28332;28333;28334;28335;28336;29652;37835;49161	9617;28332;29652;37835;49161		
sp|Q01581|HMCS1_HUMAN;sp|P54868|HMCS2_HUMAN	sp|Q01581|HMCS1_HUMAN	8;1	8;1	8;1		2	8	8	8	8	6	6	5	6	7	8	6	6	5	6	7	8	6	6	5	6	7	22.7	22.7	22.7	57.293	520	520;508	0	81.733	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.7	18.5	18.5	16.2	18.5	20.2	84220000	16287000	17344000	14077000	14145000	7731200	14635000	14930000	19239000	12953000	13982000	9519400	11887000	8	9	6	4	3	9	39				905	4037;4067;4617;5040;5041;5962;6741;8172	True;True;True;True;True;True;True;True	4099;4130;4687;5127;5128;6077;6867;8332	24686;24687;24688;24689;24690;24855;24856;24857;24858;24859;24860;28191;28192;28193;28194;28195;28196;30815;30816;30817;30818;30819;30820;30821;30822;30823;30824;30825;30826;36654;36655;36656;36657;36658;36659;41476;50554;50555	24805;24806;24807;24808;24920;24921;24922;24923;24924;24925;28186;28187;28188;28189;28190;28191;28192;28193;30857;30858;30859;30860;30861;30862;30863;30864;30865;30866;30867;30868;36622;36623;36624;36625;36626;36627;41440;50851;50852	24808;24925;28188;30858;30867;36627;41440;50851		
sp|Q01844|EWS_HUMAN	sp|Q01844|EWS_HUMAN	3	3	3		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	8.1	8.1	8.1	68.477	656	656	0	49.045	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.1	8.1	8.1	8.1	8.1	8.1	92423000	13507000	12564000	14686000	19119000	17549000	14997000	17624000	18797000	15578000	1766100	18007000	17828000	4	3	4	2	3	3	19				906	74;2239;5582	True;True;True	74;2274;5692	442;443;444;445;446;447;13414;13415;13416;13417;13418;13419;34346;34347;34348;34349;34350;34351	506;507;508;509;510;511;512;513;514;13472;13473;13474;13475;13476;34634;34635;34636;34637;34638	513;13473;34635		
